버거킹,KFC,맥도날드,롯데리아,BKM,버거지수,주소,주소1,주소2,인구수,면적,인구밀도
0.0,0.0,0.0,2.0,0.0,0.0,충청남도 공주시,충청남도,공주시,106474,864.15274,123.21201457973737
0.0,0.0,0.0,1.0,0.0,0.0,충청남도 금산군,충청남도,금산군,52257,577.23713,90.52951947148654
0.0,0.0,0.0,2.0,0.0,0.0,충청남도 부여군,충청남도,부여군,66740,624.53463,106.8635697591341
0.0,0.0,0.0,2.0,0.0,0.0,충청남도 서천군,충청남도,서천군,52805,366.115806,144.23032039212205
0.0,0.0,0.0,1.0,0.0,0.0,충청남도 예산군,충청남도,예산군,79238,542.648184,146.02094383863266
0.0,0.0,0.0,1.0,0.0,0.0,충청남도 청양군,충청남도,청양군,31717,479.099966,66.20121530127598
0.0,0.0,0.0,1.0,0.0,0.0,충청남도 태안군,충청남도,태안군,62743,515.88699,121.6215977844295
0.0,0.0,0.0,1.0,0.0,0.0,충청북도 괴산군,충청북도,괴산군,39163,842.18902,46.501437408908515
0.0,0.0,0.0,1.0,0.0,0.0,충청북도 단양군,충청북도,단양군,29756,780.15866,38.140959686328415
0.0,0.0,0.0,1.0,0.0,0.0,충청북도 보은군,충청북도,보은군,32949,584.207531,56.39947835592006
0.0,0.0,0.0,1.0,0.0,0.0,충청북도 영동군,충청북도,영동군,48738,846.016198,57.60882606647207
0.0,0.0,0.0,2.0,0.0,0.0,충청북도 옥천군,충청북도,옥천군,51023,537.221176,94.97577958468264
0.0,0.0,0.0,1.0,0.0,0.0,충청북도 증평군,충청북도,증평군,37392,81.797648,457.1280582541934
0.0,1.0,0.0,10.0,1.0,0.1,세종특별자치시 세종특별자치시,세종특별자치시,세종특별자치시,340575,464.94968,732.4986222164945
