지점명,주소,주소1,주소2,주소3
부평,인천광역시 부평구 경원대로 1399,인천광역시,부평구,경원대로 1399
부천범박,경기도 부천시 소사동로 87,경기도,부천시,소사동로 87
성수역,서울특별시 성동구 아차산로7길 28 성수쇼핑센타,서울특별시,성동구,아차산로7길 28 성수쇼핑센타
고양,경기도 고양시 덕양구 푸른마을로 34-6 고양동 선 빌딩,경기도,고양시,덕양구 푸른마을로 34-6 고양동 선 빌딩
남양주진접,경기도 남양주시 진접읍 해밀예당3로 51,경기도,남양주시,진접읍 해밀예당3로 51
롯데몰이시아폴리스점,대구광역시 동구 팔공로49길 16,대구광역시,동구,팔공로49길 16
일산가좌,경기도 고양시 일산서구 가좌1로 53 V샤르망빌딩,경기도,고양시,일산서구 가좌1로 53 V샤르망빌딩
키즈마트부산,부산광역시 부산진구 신천대로 241,부산광역시,부산진구,신천대로 241
암사역,서울특별시 강동구 올림픽로 792,서울특별시,강동구,올림픽로 792
김포통진,경기도 김포시 통진읍 김포대로 2242,경기도,김포시,통진읍 김포대로 2242
군산수송,전라북도 군산시 서수송1길 2 롯데리아,전라북도,군산시,서수송1길 2 롯데리아
일산식사,경기도 고양시 일산동구 위시티2로11번길 45,경기도,고양시,일산동구 위시티2로11번길 45
충북오송,충청북도 청주시 흥덕구 오송읍 오송생명로 194,충청북도,청주시,흥덕구 오송읍 오송생명로 194
울산남목,울산광역시 동구 방어진순환도로 1133,울산광역시,동구,방어진순환도로 1133
구리인창,경기도 구리시 동구릉로 108 경산빌딩,경기도,구리시,동구릉로 108 경산빌딩
정릉,서울특별시 성북구 보국문로8길 4,서울특별시,성북구,보국문로8길 4
구리돌다리,경기도 구리시 검배로 21,경기도,구리시,검배로 21
상봉역,서울특별시 중랑구 망우로 282-1,서울특별시,중랑구,망우로 282-1
포천송우,경기도 포천시 소흘읍 송우로 53 우덕프라자,경기도,포천시,소흘읍 송우로 53 우덕프라자
용인흥덕,경기도 용인시 기흥구 흥덕2로87번길 18,경기도,용인시,기흥구 흥덕2로87번길 18
용인죽전1동,경기도 용인시 수지구 현암로 154,경기도,용인시,수지구 현암로 154
안성공도D/T,경기도 안성시 공도읍 서동대로 3904-6,경기도,안성시,공도읍 서동대로 3904-6
성남테크노밸리,경기도 성남시 중원구 사기막골로 124,경기도,성남시,중원구 사기막골로 124
전주송천,전라북도 전주시 덕진구 솔내로 182,전라북도,전주시,덕진구 솔내로 182
완도,전라남도 완도군 완도읍 장보고대로 210,전라남도,완도군,완도읍 장보고대로 210
인제터미널,강원도 인제군 인제읍 비봉로 43,강원도,인제군,인제읍 비봉로 43
장호원,경기도 이천시 장호원읍 장감로 80,경기도,이천시,장호원읍 장감로 80
중앙대,서울특별시 동작구 흑석로 110-1,서울특별시,동작구,흑석로 110-1
수원정자,경기도 수원시 장안구 정자천로173번길 17 107호,경기도,수원시,장안구 정자천로173번길 17 107호
공항신도시,인천광역시 중구 흰바위로59번길 31 헤르메스호텔,인천광역시,중구,흰바위로59번길 31 헤르메스호텔
운정한빛,경기도 파주시 와석순환로 125,경기도,파주시,와석순환로 125
망상,강원도 동해시 동해대로 6270-18,강원도,동해시,동해대로 6270-18
방화,서울특별시 강서구 양천로 73 멤브로메디컬센터,서울특별시,강서구,양천로 73 멤브로메디컬센터
창원소답,경상남도 창원시 의창구 읍성로79번길 2 팔도상가,경상남도,창원시,의창구 읍성로79번길 2 팔도상가
용산역사ST,서울특별시 용산구 한강대로23길 55,서울특별시,용산구,한강대로23길 55
